nazev,obor,seniorita,kraj,uvazek,rezim,bonus,mzda_rozsah,mzda_pozn,uvod,proc_mluvit,naplne,must,vyhoda,nabizime,cta,featured,zverejnit,datum_zverejneni,platnost_do
Programátor robotů,auto,spec,Plzeňský kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Logistics Coordinator,logistika,spec,Praha,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Vedoucí výroby,vyroba,man,Plzeňský kraj,FULL_TIME,onsite,,,,,,,,,,,ano,ano,,
Obchodní manažer – technická řešení (B2B),obchod,man,Olomoucký kraj,FULL_TIME,onsite,,,,,,,,,,,ano,ano,,
Manažer CNC výroby – strategická role,vyroba,man,Liberecký kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
CNC specialista – CAM + výroba,vyroba,spec,Liberecký kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
CNC Programátor / Specialista,vyroba,spec,Liberecký kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Finanční Controller,finance,spec,Liberecký kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Project Financial Controller,finance,spec,Liberecký kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Vedoucí týmu,vyroba,man,Vysočina,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Seřizovač,vyroba,spec,Vysočina,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Talent Acquisition Specialist (specialisté & management),hr,spec,Královéhradecký kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Specialista zařízení,servis,spec,Praha / Středočeský kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Specialista údržby výrobních linek a zařízení,servis,spec,Plzeňský kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Vedoucí výrobního úseku,vyroba,man,Liberecký kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Analytik logistických procesů,logistika,spec,Praha,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Vedoucí montáže,vyroba,man,Olomoucký kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
PLC Specialista,auto,spec,Praha / Středočeský kraj,FULL_TIME,onsite,,,,,,,,,,,ano,ano,,
HR Partner pro mezinárodní prostředí,hr,spec,Praha / Středočeský kraj,FULL_TIME,onsite,,,,,,,,,,,ne,ano,,
Operations Manager | strategická výrobní role,vyroba,top,Jihomoravský kraj,FULL_TIME,onsite,,,,,,,,,,,ano,ano,,
